AcX,AcY,AcZ
-18792,3316,-5216
-20844,1780,-4944
-22892,28,-7084
-23324,-236,-8240
-22748,-1496,-8664
-24096,-472,-8016
-25668,984,-8760
-27504,2936,-9872
-30340,172,-11380
-30228,4988,-8608
-31680,2348,-5324
-32016,-676,-8092
-25164,-4112,-12148
-27296,1492,-19512
-22364,13340,-17516
-18596,8712,-8308
-9368,-25920,2620
-9348,-9140,660
-5928,5512,-6356
-4548,7732,-5660
-3092,7660,-4180
-2912,3968,-2016
-3536,-868,-1236
-5200,-2912,-1168
-6668,-2444,-1504
-5976,-2548,-1936
-8388,-2304,-2928
-10336,-2620,-2520
-11892,-3308,-3764
-13940,-4356,-3596
-15968,-5048,-2908
-17652,-4780,-2492
-20912,-5024,-2336
-23548,-4784,-2708
-27572,-4980,-4168
-29964,-6496,-5500
-31496,-10232,-5372
-32768,-16764,-3776
-32348,-19400,-2288
-26804,-18308,-6776
-23920,-21700,-6668
-22652,-26368,-3064
-18832,-23800,-408
-17624,-21396,-2888
-17224,-23148,-3360
-19212,-22484,-2436
-25408,-9332,-11048
-15836,13164,-3520
-15396,19284,388
-30480,13452,-4276
-29940,14920,7148
-22516,-7812,7616
-18704,-5728,-2788
-14572,-1380,-2992
-15692,-3524,-4396
-14836,-6208,-8628
-14832,-7092,-10076
-16576,-12980,-12548
-19464,-956,-11464
-12164,-2200,-5216
-15656,224,-7456
-15208,4016,-4316
-16916,-388,-5024
-15664,-2136,-6468
-14664,-4296,-7284
-15168,-3032,-8116
-14908,-1420,-8216
-15028,-948,-7876
-15176,-48,-6264
-15756,-680,-5296
-15744,-648,-5212
-15672,-840,-5676
-15268,-1468,-6176
-14916,-1668,-6592
-14936,-1612,-6940
-15060,-640,-6084
-15016,-572,-5928
-15184,-1604,-5596
-15708,-2924,-6156
-15504,-3252,-6652
-15124,-2560,-6756
-15392,-888,-7176
-16060,3468,-9016
-17148,4440,-8628
-21028,1360,-6012
-20048,192,-5256
-22752,-536,-6692
-23224,-3020,-6772
-22288,-3140,-7160
-25220,-3084,-4816
-24868,-72,-4860
-26444,580,-6124
-30004,744,-9080
-29932,5592,-9680
-30596,9632,-6088
-31388,1012,-4672
-29564,1248,-10084
-25364,-1184,-18460
-26396,9024,-20080
-19380,8432,-8344
-18824,3472,-1256
-13440,-22148,3440
-7448,-5688,-5860
-6456,4444,-8356
-3896,6040,-6376
-2416,4704,-4696
-2012,320,-3084
-3292,-2952,-2612
-5196,-3240,-2176
-5600,-1892,-2312
-5880,-2512,-2292
-7264,-3028,-3140
-9720,-2288,-3096
-11344,-2928,-2672
-14248,-3024,-3448
-15628,-3712,-2860
-18060,-3784,-3184
-20204,-4012,-3028
-22900,-4608,-2624
-26176,-6824,-3504
-27864,-8832,-4420
-31056,-13384,-4392
-32768,-19168,-3280
-32768,-22720,-2044
-27792,-18808,-6984
-24656,-23172,-8036
-22408,-29756,-2940
-17992,-26608,1104
-18508,-24908,-1768
-17636,-25484,-3868
-29244,-6900,-12352
-27616,14724,-4804
-20228,25564,-2360
-32768,16676,-1636
-27152,3124,17848
-17516,-3872,6176
-15916,-4232,-3800
-13852,-656,-4384
-13028,-2584,-6632
-13936,-6812,-10460
-16064,-17516,-17168
-21864,-4796,-12776
-11324,-5136,-3424
-16780,-1048,-6364
-15136,4776,-3684
-16260,2812,-5232
-16244,1148,-5140
-15428,-3796,-6236
-16104,-4884,-5452
-15884,-4680,-7944
-15596,-4676,-8248
-15360,-1124,-6608
-15812,40,-5136
-16028,-1400,-4752
-16132,-1128,-4880
-15680,-1340,-5596
-15452,-2108,-5848
-15040,-2364,-6228
-14684,-2128,-6340
-14688,-1868,-6492
-15052,-1224,-7172
-15664,-1436,-7416
-15852,-2092,-6808
-15960,-2532,-5928
-16796,-828,-4508
-15104,848,-5688
-16368,2372,-5372
-16964,3364,-5980
-18232,1656,-5600
-20556,-1188,-5032
-20924,-2440,-5612
-21208,-1636,-7416
-21880,-968,-7864
-21916,-1464,-8940
-25056,-876,-9932
-26912,-180,-10888
-28172,-168,-11652
-29056,5816,-11404
-26900,6152,-6448
-28376,-5164,-4876
-26032,-3556,-5388
-24400,-8260,-10060
-22120,3724,-18344
-9928,5324,-10544
-9520,3244,-2484
-11668,-14100,916
-7656,896,-3004
-5752,9388,-5976
-4616,8376,-5204
-3080,2180,-5268
-3396,-2732,-3184
-4712,-3520,-668
-6904,-4352,192
-6092,-3860,608
-5908,-4336,-404
