AcX,AcY,AcZ
-32768.0,9596.0,-8336.0
-20616.0,32767.0,-13276.0
-11744.0,7748.0,10180.0
-21356.0,-26764.0,-10764.0
-10188.0,5520.0,-5952.0
-9172.0,16988.0,-11124.0
-1344.0,15032.0,-9056.0
-3824.0,6028.0,-5324.0
-3768.0,84.0,-3412.0
-5612.0,-2176.0,-4436.0
-5052.0,348.0,-2620.0
-5456.0,1560.0,-1368.0
-6524.0,2412.0,-2020.0
-8256.0,1760.0,-2152.0
-10360.0,688.0,-3568.0
-12812.0,384.0,-3360.0
-14392.0,12.0,-4360.0
-17964.0,-280.0,-3456.0
-21992.0,364.0,-3288.0
-26244.0,-772.0,-3700.0
-31500.0,-3676.0,-3676.0
-32768.0,-6568.0,-4420.0
-32768.0,-10624.0,-5660.0
-32768.0,-19664.0,-8100.0
-32768.0,-23688.0,-11088.0
-30272.0,-24176.0,-13492.0
-29240.0,-32768.0,-15676.0
-26676.0,-32768.0,-9364.0
-19216.0,-32768.0,-9844.0
-21616.0,-32768.0,-7824.0
-32768.0,-8220.0,-8488.0
-25492.0,22516.0,-10428.0
-32768.0,32767.0,2404.0
-32768.0,-18432.0,-17420.0
-13812.0,-12416.0,32767.0
-17244.0,-8904.0,3948.0
-11016.0,-5944.0,-6960.0
-10456.0,-5048.0,4040.0
-17412.0,-9816.0,-11916.0
-18112.0,-11160.0,-13088.0
-19040.0,-17248.0,-13696.0
-11216.0,-2340.0,-15908.0
-17160.0,4748.0,-6748.0
-15316.0,8604.0,-7348.0
-16020.0,1408.0,-3808.0
-17332.0,-1168.0,-3992.0
-17232.0,-2820.0,-5228.0
-16512.0,540.0,-7920.0
-14136.0,3732.0,-9484.0
-14348.0,2580.0,-7992.0
-14788.0,1312.0,-6288.0
-15588.0,1444.0,-5668.0
-16624.0,1468.0,-6912.0
-15440.0,1244.0,-7920.0
-13792.0,2808.0,-7956.0
-11676.0,3956.0,-8244.0
-13732.0,2464.0,-10472.0
-15940.0,3112.0,-7220.0
-15984.0,3540.0,-7376.0
-17068.0,5452.0,-7216.0
-18180.0,5248.0,-7028.0
-20436.0,5420.0,-6404.0
-21208.0,7848.0,-6924.0
-21928.0,7608.0,-7152.0
-24324.0,8296.0,-5156.0
-25760.0,7596.0,-3384.0
-26200.0,9256.0,-4420.0
-27620.0,9116.0,-7576.0
-31988.0,13428.0,-6660.0
-32768.0,21204.0,-6180.0
-32768.0,20460.0,-9104.0
-32768.0,6992.0,-8504.0
-32768.0,1912.0,-6564.0
-27820.0,21640.0,-20224.0
-29420.0,22680.0,-22720.0
16436.0,-8820.0,-10844.0
-20352.0,-25164.0,-16972.0
-16264.0,8400.0,-2268.0
-8884.0,18244.0,-11980.0
-2748.0,11856.0,-9424.0
-4580.0,4740.0,-5364.0
-4956.0,-684.0,-4228.0
-5276.0,-2456.0,-3044.0
-6296.0,892.0,-1080.0
-7152.0,1836.0,-1172.0
-6988.0,3632.0,-2664.0
-8892.0,2696.0,-3960.0
-11496.0,-824.0,-5312.0
-13156.0,-1892.0,-5060.0
-14468.0,-2428.0,-6620.0
-18108.0,-2556.0,-6848.0
-21192.0,-1400.0,-7120.0
-25572.0,-644.0,-7488.0
-30260.0,-1860.0,-7640.0
-32768.0,-6652.0,-8288.0
-32768.0,-11100.0,-9572.0
-32768.0,-20712.0,-9880.0
-32768.0,-24064.0,-10152.0
-32264.0,-22496.0,-10056.0
-28160.0,-32768.0,-15688.0
-26740.0,-32768.0,-12692.0
-19984.0,-31600.0,-10544.0
