AcX,AcY,AcZ
-25724.0,-6024.0,-8536.0
-27336.0,-7136.0,-9536.0
-29040.0,-8320.0,-8604.0
-31216.0,-12412.0,-6676.0
-32376.0,-13480.0,-6308.0
-26568.0,-9804.0,-8124.0
-22008.0,-10296.0,-9084.0
-19436.0,-13804.0,-8384.0
-17940.0,-16868.0,-7484.0
-16516.0,-17704.0,-5640.0
-18128.0,-18168.0,-5372.0
-18580.0,-16044.0,-7084.0
-18836.0,-13132.0,-7180.0
-19392.0,-10840.0,-6764.0
-19892.0,32767.0,-20240.0
-13628.0,32767.0,-7896.0
-22304.0,22576.0,2108.0
-29944.0,11628.0,432.0
-16652.0,4804.0,13044.0
-18680.0,-12124.0,-68.0
-20140.0,-848.0,-3268.0
-13576.0,2880.0,-5364.0
-14392.0,1164.0,-8864.0
-8292.0,-15416.0,-20784.0
-22264.0,-1656.0,-10436.0
-13896.0,-2168.0,-9848.0
-15344.0,468.0,-7040.0
-13536.0,4912.0,-4312.0
-15196.0,6364.0,-2848.0
-15536.0,2704.0,-4236.0
-17280.0,-1252.0,-5264.0
-16668.0,-1592.0,-6760.0
-15064.0,-700.0,-8512.0
-14592.0,1068.0,-8988.0
-14288.0,3148.0,-8176.0
-14640.0,2316.0,-7652.0
-15372.0,612.0,-7732.0
-15756.0,160.0,-7248.0
-15232.0,240.0,-6356.0
-15324.0,996.0,-6164.0
-15056.0,1048.0,-6400.0
-14960.0,740.0,-7144.0
-14968.0,564.0,-7664.0
-15280.0,852.0,-7472.0
-15072.0,792.0,-7416.0
-15536.0,504.0,-6828.0
-15320.0,220.0,-6608.0
-15100.0,516.0,-6452.0
-15288.0,260.0,-6648.0
-15540.0,332.0,-7112.0
-15568.0,184.0,-8020.0
-15480.0,88.0,-7336.0
-15256.0,616.0,-7416.0
-15688.0,324.0,-7236.0
-16080.0,1084.0,-7032.0
-16588.0,2804.0,-6364.0
-15940.0,2852.0,-6580.0
-17344.0,1996.0,-6864.0
-17492.0,1104.0,-7404.0
-18284.0,1544.0,-7760.0
-18280.0,1044.0,-8080.0
-17980.0,1500.0,-8540.0
-18708.0,1816.0,-8784.0
-18504.0,1484.0,-8328.0
-19432.0,732.0,-7868.0
-20316.0,1276.0,-7416.0
-20948.0,2428.0,-6384.0
-21852.0,4136.0,-5736.0
-22252.0,6776.0,-5872.0
-23600.0,7648.0,-5008.0
-23348.0,7964.0,-3668.0
-23592.0,2276.0,-3040.0
-24052.0,1152.0,-5588.0
-25320.0,1512.0,-12856.0
-22524.0,1828.0,-8468.0
-22376.0,3532.0,-8980.0
-24436.0,7120.0,-5900.0
3736.0,104.0,-11488.0
-17452.0,-21360.0,-2504.0
-8796.0,-7572.0,-6960.0
-11416.0,6640.0,-7684.0
-6580.0,7680.0,-4732.0
-4956.0,3744.0,-4504.0
-5152.0,1352.0,-3300.0
-7036.0,-1012.0,-2140.0
-10476.0,-3988.0,-2088.0
-9856.0,-5024.0,-1100.0
-10128.0,-2192.0,-1868.0
-10168.0,-1584.0,-3208.0
-10724.0,-2752.0,-3984.0
-12024.0,-4048.0,-4108.0
-13860.0,-4456.0,-4440.0
-15400.0,-4244.0,-5176.0
-17012.0,-5208.0,-5536.0
-17580.0,-5824.0,-5952.0
-18936.0,-5320.0,-5680.0
-19544.0,-4356.0,-5784.0
-19536.0,-3648.0,-5944.0
-20756.0,-2360.0,-6016.0
-22420.0,-2156.0,-6368.0
-23648.0,-3508.0,-6960.0
-24700.0,-5116.0,-7052.0
-26564.0,-10556.0,-5200.0
-29156.0,-14540.0,-2936.0
-28456.0,-10312.0,-4844.0
-24468.0,-8712.0,-8760.0
-21020.0,-10100.0,-9896.0
-20564.0,-13688.0,-7648.0
-19164.0,-16880.0,-5516.0
-17980.0,-18544.0,-5156.0
-17076.0,-17412.0,-7460.0
-17592.0,-14292.0,-8196.0
-23056.0,14644.0,-15112.0
-11488.0,22656.0,-5852.0
-25084.0,19392.0,116.0
-21484.0,12720.0,-3528.0
-17836.0,17632.0,5932.0
-16884.0,1064.0,4868.0
-18244.0,-3808.0,-3364.0
-15372.0,3196.0,-5868.0
-13280.0,3672.0,-8264.0
-13260.0,2168.0,-10116.0
-12916.0,-8396.0,-19240.0
-26132.0,-400.0,-9492.0
-7856.0,-468.0,-6212.0
-17116.0,-668.0,-7228.0
-15540.0,3828.0,-4416.0
-15800.0,4036.0,-1464.0
-16464.0,2788.0,-1708.0
-14624.0,872.0,-6208.0
-14324.0,2160.0,-6324.0
-15404.0,564.0,-7576.0
-16016.0,-964.0,-7808.0
-16376.0,-2872.0,-7040.0
-16384.0,-1240.0,-4956.0
-16124.0,940.0,-3588.0
-15932.0,1228.0,-4088.0
-16244.0,1292.0,-5004.0
-15480.0,-4.0,-6072.0
-15416.0,-664.0,-6732.0
-15812.0,-460.0,-6436.0
-15644.0,-592.0,-6320.0
-15116.0,408.0,-5204.0
-15300.0,512.0,-5172.0
-15060.0,-64.0,-5496.0
-15436.0,112.0,-5580.0
-15736.0,364.0,-6284.0
-15712.0,-124.0,-5972.0
-15828.0,-172.0,-5716.0
-15660.0,-308.0,-6068.0
-15660.0,-768.0,-5824.0
-15668.0,-576.0,-6396.0
-15600.0,344.0,-6432.0
-15552.0,1152.0,-6332.0
-15832.0,2408.0,-6208.0
-15860.0,1048.0,-7316.0
