AcX,AcY,AcZ
-32768.0,356.0,-9600.0
-21124.0,19384.0,3292.0
-32768.0,32767.0,-5664.0
-28940.0,18940.0,19924.0
-17312.0,-11824.0,15984.0
-20276.0,-5816.0,-6948.0
-16384.0,-2836.0,-3568.0
-12184.0,-1316.0,-5352.0
-13308.0,-2952.0,-9876.0
-12024.0,-18044.0,-23060.0
-27340.0,-4484.0,-10504.0
-11456.0,-5888.0,-11412.0
-16400.0,452.0,-7768.0
-12956.0,4792.0,-5256.0
-16076.0,6300.0,-2716.0
-16348.0,1992.0,-4324.0
-16192.0,-2244.0,-5220.0
-16248.0,-2196.0,-5572.0
-15928.0,-2120.0,-7588.0
-15860.0,-156.0,-7840.0
-14928.0,1508.0,-6632.0
-15460.0,1508.0,-6072.0
-15752.0,632.0,-5800.0
-16020.0,-232.0,-5032.0
-16276.0,-300.0,-4976.0
-16092.0,-212.0,-5908.0
-15576.0,180.0,-6136.0
-15048.0,28.0,-6600.0
-15004.0,1224.0,-6348.0
-14640.0,856.0,-6492.0
-15220.0,56.0,-6376.0
-14840.0,-200.0,-7548.0
-15832.0,1052.0,-7036.0
-15980.0,1148.0,-7012.0
-16044.0,608.0,-6988.0
-16404.0,2568.0,-7016.0
-15644.0,6336.0,-7004.0
-15808.0,8424.0,-6980.0
-16812.0,7036.0,-6976.0
-20572.0,2976.0,-6320.0
-23076.0,1864.0,-8260.0
-25596.0,2924.0,-2284.0
-23780.0,3724.0,-11436.0
-22020.0,2968.0,-7480.0
-25128.0,5136.0,-6468.0
-26956.0,7860.0,-6284.0
-29388.0,10088.0,-8040.0
-26992.0,11980.0,-5644.0
-30996.0,10136.0,-4852.0
-31168.0,4068.0,-4280.0
-27024.0,-916.0,-15196.0
-23168.0,11112.0,-20404.0
-23884.0,11996.0,-10464.0
-32768.0,8172.0,-2524.0
14212.0,-17880.0,-15580.0
-13084.0,-10920.0,-6424.0
-13636.0,11704.0,-9168.0
-3980.0,14536.0,-6964.0
-4712.0,9080.0,-4380.0
-5804.0,2284.0,-3156.0
-8604.0,-2156.0,-2500.0
-8268.0,-1732.0,-1208.0
-9308.0,-700.0,-1236.0
-9576.0,-1160.0,-2916.0
-11112.0,-1068.0,-3412.0
-12984.0,-2468.0,-4040.0
-15256.0,-4176.0,-5020.0
-16368.0,-3296.0,-4688.0
-17048.0,-2328.0,-4396.0
-18408.0,-1588.0,-5060.0
-20696.0,-1244.0,-5380.0
-24468.0,-3012.0,-6424.0
-25992.0,-3288.0,-7944.0
-26616.0,-3896.0,-9308.0
-28600.0,-6280.0,-10008.0
-31540.0,-13280.0,-9088.0
-32768.0,-16268.0,-7344.0
-29604.0,-11800.0,-8132.0
-28544.0,-12708.0,-8740.0
-24932.0,-16636.0,-7824.0
-22232.0,-20444.0,-5768.0
-20148.0,-22988.0,-5096.0
-19628.0,-24712.0,-5980.0
-20832.0,-23228.0,-6544.0
-20672.0,-20040.0,-6308.0
-21820.0,-18280.0,-7616.0
-30740.0,-4508.0,-14420.0
-13208.0,32767.0,9104.0
-32768.0,32767.0,-3616.0
-32768.0,21084.0,-660.0
-13804.0,-652.0,18044.0
-20500.0,-17404.0,-8632.0
-19012.0,-5616.0,-2264.0
-14692.0,-524.0,972.0
-12796.0,-1800.0,-5640.0
-19224.0,-12396.0,-20876.0
-24884.0,-7476.0,-15504.0
-10500.0,-3468.0,-9624.0
-16780.0,-212.0,-8780.0
-13568.0,4940.0,-7004.0
-16132.0,4536.0,-4272.0
-15868.0,3296.0,-4240.0
-15768.0,-260.0,-6284.0
-15792.0,-1376.0,-7724.0
-15472.0,-256.0,-8896.0
-15160.0,608.0,-8476.0
-15296.0,1160.0,-6568.0
-15148.0,1372.0,-5876.0
-15940.0,332.0,-5748.0
-16040.0,372.0,-5068.0
-15772.0,280.0,-5840.0
-15600.0,544.0,-6648.0
-15592.0,528.0,-6716.0
-15228.0,1032.0,-6928.0
-13960.0,1376.0,-7728.0
-14136.0,728.0,-7568.0
-14628.0,-1004.0,-7592.0
-16020.0,-2752.0,-7020.0
-17052.0,-1504.0,-6472.0
-18128.0,280.0,-6656.0
-17168.0,1096.0,-7140.0
-18500.0,2388.0,-6100.0
-18056.0,5480.0,-6896.0
-17308.0,7432.0,-7104.0
-18084.0,8016.0,-7504.0
-20348.0,5896.0,-7680.0
-20212.0,1284.0,-9844.0
-21444.0,2976.0,-7716.0
-22524.0,2448.0,-8372.0
-22888.0,5388.0,-4748.0
-26840.0,7716.0,-4952.0
-27492.0,9400.0,-5540.0
-28436.0,11260.0,-5340.0
-32768.0,9420.0,-3964.0
-29328.0,4912.0,-4852.0
-29344.0,1320.0,-11164.0
-26196.0,15472.0,-24144.0
-27008.0,15472.0,-10560.0
-32768.0,15000.0,-5832.0
12656.0,-18052.0,-15516.0
-19564.0,-16396.0,-6204.0
-14336.0,8516.0,-10280.0
-6612.0,12328.0,-7344.0
-4708.0,9160.0,-5520.0
-5268.0,5464.0,-3572.0
-6988.0,1700.0,-1000.0
-8744.0,-3168.0,-1468.0
-9980.0,-5204.0,-2696.0
-9068.0,-2704.0,-2844.0
-9348.0,-736.0,-3792.0
-10392.0,-1964.0,-4496.0
-10608.0,-2788.0,-4976.0
-12488.0,-2336.0,-5164.0
-13856.0,-2916.0,-5292.0
-15068.0,-3220.0,-5476.0
-17652.0,-1592.0,-5232.0
-21244.0,-776.0,-5448.0
-24532.0,-1980.0,-6148.0
-27572.0,-4244.0,-7832.0
-30464.0,-5924.0,-7908.0
-32768.0,-9968.0,-6772.0
-32768.0,-11468.0,-6768.0
-32768.0,-10620.0,-9500.0
-30212.0,-14864.0,-13672.0
-28844.0,-25060.0,-10556.0
-24644.0,-28876.0,-5940.0
-21240.0,-27872.0,-6672.0
-19560.0,-27212.0,-8552.0
-20484.0,-22956.0,-8916.0
-21444.0,-20196.0,-6644.0
-32768.0,22072.0,-19188.0
-9332.0,32767.0,1464.0
-32768.0,31340.0,-8668.0
-32768.0,20896.0,20360.0
-10396.0,-13644.0,10948.0
-22796.0,-15416.0,-11376.0
-16204.0,-4240.0,-52.0
-12000.0,-344.0,-3876.0
-16524.0,-10640.0,-21652.0
-24620.0,-12516.0,-21008.0
-9580.0,-6948.0,-9036.0
-17812.0,-4304.0,-10768.0
-14948.0,4220.0,-6684.0
-15804.0,3432.0,-3804.0
-15524.0,6608.0,-1644.0
-16908.0,1544.0,-2276.0
-17560.0,-956.0,-4932.0
-15644.0,-1376.0,-6920.0
-15304.0,-912.0,-9388.0
-14892.0,28.0,-7604.0
-14960.0,2368.0,-5932.0
-15620.0,1408.0,-4736.0
-16200.0,-848.0,-4268.0
-16252.0,-548.0,-4760.0
-15668.0,-304.0,-5876.0
-15812.0,16.0,-6940.0
-15248.0,588.0,-7640.0
-13712.0,476.0,-9240.0
-16136.0,-188.0,-8712.0
-18204.0,28.0,-5580.0
-15488.0,484.0,-5632.0
-16272.0,2388.0,-4580.0
-16596.0,2500.0,-5060.0
-15508.0,4396.0,-6576.0
-16264.0,5664.0,-7700.0
-17476.0,5984.0,-7260.0
-19084.0,5160.0,-5784.0
-20980.0,5132.0,-4644.0
-22088.0,4032.0,-6320.0
-23132.0,2592.0,-8312.0
-22760.0,2904.0,-9064.0
-22424.0,3944.0,-8164.0
-25784.0,6688.0,-8356.0
-27376.0,9056.0,-7844.0
-29148.0,9556.0,-10028.0
-27268.0,8628.0,-5580.0
-32484.0,10184.0,-6048.0
-29412.0,5216.0,-9340.0
-26456.0,8788.0,-19668.0
-23232.0,13400.0,-16816.0
-32768.0,10832.0,-7356.0
9488.0,-10068.0,-15140.0
-20764.0,-14340.0,-2132.0
-13564.0,4304.0,-7688.0
-7180.0,10900.0,-6096.0
-4808.0,6976.0,-4916.0
-4960.0,2700.0,-3152.0
-5448.0,-1408.0,-2692.0
-6100.0,-2216.0,-1608.0
-6632.0,-2456.0,-1372.0
-7696.0,-2676.0,-2448.0
-8072.0,-1352.0,-2740.0
-9028.0,-1292.0,-3624.0
-10888.0,-3320.0,-3920.0
-12744.0,-3388.0,-4528.0
-13660.0,-2480.0,-3916.0
-14400.0,-1720.0,-4088.0
-17516.0,-2388.0,-4476.0
-20172.0,-1900.0,-5348.0
-22768.0,-1312.0,-5892.0
-26576.0,-1784.0,-7072.0
-29916.0,-2036.0,-8044.0
-31692.0,-3572.0,-8568.0
-32768.0,-10328.0,-6824.0
-32768.0,-12656.0,-6984.0
-32540.0,-12676.0,-11920.0
-31820.0,-22032.0,-13388.0
-26588.0,-29508.0,-7888.0
-20116.0,-24768.0,-8904.0
-18024.0,-23688.0,-10248.0
-17684.0,-23828.0,-10184.0
-20668.0,-21744.0,-6804.0
-22936.0,-20316.0,-4136.0
-17092.0,32767.0,-18128.0
-22116.0,32767.0,-2616.0
-32768.0,21480.0,-3812.0
-18724.0,20208.0,25988.0
-11908.0,-11300.0,8804.0
-29584.0,-5588.0,-1000.0
-12432.0,8920.0,1424.0
-5100.0,-15160.0,-13940.0
-27696.0,-10328.0,-32768.0
-3844.0,-12824.0,-18384.0
-12244.0,-7628.0,-14832.0
-17976.0,4752.0,2792.0
-15212.0,3068.0,3352.0
-16472.0,-620.0,-2484.0
-19700.0,-188.0,-4224.0
-16200.0,256.0,-6100.0
-14996.0,4044.0,-7292.0
-16300.0,4668.0,-8820.0
-23540.0,3376.0,-8628.0
-15760.0,-756.0,-5984.0
-15204.0,400.0,-3536.0
-15136.0,540.0,-4352.0
-13488.0,372.0,-5156.0
-14368.0,960.0,-7204.0
-13060.0,-808.0,-7208.0
-13524.0,1736.0,-7412.0
-14300.0,1712.0,-5768.0
-13888.0,928.0,-4020.0
-13376.0,832.0,-1776.0
-15348.0,2956.0,-1392.0
-14444.0,3056.0,-28.0
-13348.0,-1768.0,-1260.0
-12672.0,-5600.0,-2604.0
-16100.0,532.0,-5756.0
-18460.0,8584.0,-9140.0
-18424.0,3800.0,-10688.0
-16220.0,1040.0,-9200.0
-17908.0,2084.0,-7008.0
-18284.0,3956.0,-6332.0
-18132.0,3004.0,-4788.0
-18588.0,1280.0,-5528.0
-18972.0,-840.0,-7424.0
-18632.0,-4472.0,-6864.0
-17380.0,-4584.0,-6704.0
-13896.0,-1660.0,-8056.0
-8728.0,6276.0,-4776.0
-6628.0,6968.0,-3028.0
-8760.0,6900.0,-4884.0
-9160.0,9680.0,-2768.0
-11892.0,4432.0,-804.0
-15356.0,1284.0,-1332.0
-16296.0,3128.0,-1776.0
-17544.0,1700.0,-2624.0
-17248.0,-856.0,-3472.0
-16228.0,-1612.0,-5796.0
-16020.0,-1764.0,-6988.0
-16636.0,-1948.0,-7504.0
-16904.0,-4400.0,-7900.0
-16804.0,-4796.0,-7512.0
-15612.0,-7536.0,-10160.0
-17772.0,-11412.0,-7860.0
-18192.0,-9856.0,-7104.0
-16780.0,-16440.0,-6540.0
-18344.0,-17972.0,-8736.0
-16812.0,-11276.0,-4308.0
-16200.0,-13640.0,-5540.0
-17024.0,-6164.0,-4628.0
-14048.0,6616.0,-3804.0
-15388.0,5996.0,-4724.0
-15256.0,1768.0,-6432.0
-15976.0,3620.0,-5008.0
-15040.0,3372.0,-5556.0
-14928.0,2460.0,-6040.0
-14888.0,3040.0,-5984.0
-14324.0,3428.0,-6724.0
-14488.0,4560.0,-6568.0
-15452.0,5288.0,-6844.0
-15852.0,3444.0,-5884.0
-16036.0,2780.0,-5060.0
-15708.0,2956.0,-5380.0
-15216.0,2984.0,-5720.0
-14968.0,3404.0,-5796.0
-14848.0,2468.0,-5828.0
-15012.0,1928.0,-5812.0
-15448.0,2060.0,-5636.0
-15240.0,1892.0,-6396.0
-15368.0,1520.0,-6152.0
-15372.0,1500.0,-5960.0
-15524.0,1980.0,-6292.0
-15316.0,1928.0,-5768.0
-15104.0,1992.0,-5712.0
-15028.0,2020.0,-5636.0
-15288.0,2148.0,-5736.0
-15184.0,2124.0,-5868.0
-15340.0,1724.0,-6184.0
-15328.0,1660.0,-6724.0
-15172.0,1960.0,-6780.0
-15128.0,2012.0,-6636.0
-15164.0,1752.0,-6532.0
-15012.0,1936.0,-6288.0
-14988.0,1868.0,-6116.0
-15364.0,1972.0,-6040.0
-15224.0,1892.0,-6460.0
-15160.0,1820.0,-6376.0
-15184.0,1516.0,-6372.0
-15200.0,1836.0,-6468.0
-15080.0,1704.0,-6404.0
-15032.0,1520.0,-6332.0
-15272.0,1620.0,-6100.0
-15204.0,1616.0,-6400.0
-15300.0,1956.0,-6528.0
-15260.0,2112.0,-6532.0
-15148.0,1628.0,-6524.0
-15160.0,1572.0,-6284.0
-15100.0,1600.0,-6288.0
-15092.0,1820.0,-6372.0
-15104.0,1748.0,-6400.0
-15088.0,1580.0,-6432.0
-15056.0,1644.0,-6508.0
-15080.0,1680.0,-6344.0
-15216.0,1640.0,-6476.0
-15224.0,1632.0,-6512.0
-15172.0,1544.0,-6736.0
