AcX,AcY,AcZ
-15020.0,-2572.0,-11544.0
-14548.0,1336.0,-7188.0
-15196.0,2616.0,-4196.0
-15884.0,1856.0,-3796.0
-16116.0,1516.0,-4620.0
-15412.0,1296.0,-6152.0
-15204.0,492.0,-7208.0
-14592.0,780.0,-7544.0
-14844.0,1496.0,-7228.0
-15816.0,472.0,-7140.0
-15288.0,688.0,-7060.0
-14936.0,604.0,-7124.0
-15440.0,356.0,-8920.0
-15012.0,824.0,-8276.0
-14720.0,3868.0,-7880.0
-15212.0,6480.0,-8244.0
-16640.0,8148.0,-7148.0
-19052.0,5196.0,-5316.0
-20872.0,4792.0,-4352.0
-22044.0,4768.0,-5244.0
-22868.0,4432.0,-7784.0
-22820.0,3364.0,-8608.0
-23224.0,3512.0,-9420.0
-25064.0,6644.0,-9024.0
-27800.0,8716.0,-9100.0
-29804.0,9600.0,-10132.0
-29428.0,11252.0,-5396.0
-32648.0,9160.0,-3376.0
-32768.0,2048.0,-4940.0
-23720.0,792.0,-15036.0
-25588.0,14652.0,-20912.0
-19156.0,20916.0,-14664.0
-32768.0,7184.0,-1908.0
1220.0,-22652.0,-10472.0
-8608.0,-17436.0,-4920.0
-12528.0,7820.0,-7760.0
-4972.0,11848.0,-5308.0
-2588.0,8996.0,-3864.0
-3972.0,4052.0,-2440.0
-5320.0,-840.0,-1744.0
-7052.0,-2896.0,-1044.0
-7028.0,-2244.0,-840.0
-6108.0,-840.0,-2024.0
-7012.0,-396.0,-1444.0
-8612.0,-32.0,-3756.0
-10144.0,-576.0,-4036.0
-11776.0,32.0,-4352.0
-13424.0,720.0,-4016.0
-16936.0,-700.0,-3936.0
-21304.0,-564.0,-4440.0
-24916.0,280.0,-4796.0
-29584.0,-68.0,-6004.0
-32768.0,-5088.0,-7008.0
-32768.0,-9080.0,-6624.0
-32768.0,-10428.0,-5992.0
-32768.0,-10504.0,-8124.0
-31692.0,-15680.0,-15472.0
-27052.0,-30188.0,-11380.0
-25204.0,-32768.0,-3984.0
-21692.0,-25504.0,-8372.0
-17424.0,-24692.0,-10260.0
-20572.0,-23476.0,-9500.0
-29904.0,6200.0,-16796.0
-18400.0,21692.0,-4792.0
-32768.0,26832.0,-2028.0
-31984.0,25028.0,6644.0
-18288.0,3240.0,22228.0
-14792.0,-12340.0,-1768.0
-18700.0,-5008.0,-6008.0
-12720.0,-440.0,-2088.0
-12484.0,-2896.0,-9380.0
-7604.0,-21112.0,-25508.0
-20832.0,-3872.0,-8452.0
-15260.0,-6660.0,-12156.0
-16688.0,632.0,-8300.0
-16168.0,3508.0,-3608.0
-15948.0,5160.0,-1716.0
-14868.0,4880.0,-1568.0
-15172.0,3520.0,-3520.0
-15664.0,1660.0,-5744.0
-16212.0,-1940.0,-7308.0
-16008.0,-2588.0,-9560.0
-15812.0,-1780.0,-8944.0
-15212.0,392.0,-6540.0
-15684.0,652.0,-5436.0
-15808.0,720.0,-3960.0
-15984.0,1176.0,-4840.0
-16172.0,1184.0,-5576.0
-15252.0,1640.0,-7052.0
-14096.0,1636.0,-7752.0
-15008.0,988.0,-6960.0
-15372.0,1048.0,-6820.0
-15864.0,836.0,-6048.0
-15496.0,2124.0,-6732.0
-16532.0,2352.0,-7344.0
-16384.0,1112.0,-8112.0
-18944.0,3616.0,-6640.0
-16700.0,4648.0,-5824.0
-17156.0,8268.0,-4984.0
-19508.0,5948.0,-4056.0
-21816.0,4080.0,-4696.0
-23000.0,3332.0,-7460.0
-22736.0,3388.0,-9268.0
-23032.0,1748.0,-8824.0
-24900.0,4924.0,-8068.0
-25864.0,8396.0,-7712.0
-29360.0,10220.0,-9828.0
-27904.0,10516.0,-6932.0
-31260.0,9116.0,-4696.0
-32768.0,6960.0,-5504.0
-24576.0,5660.0,-13448.0
-23264.0,7404.0,-18640.0
-22156.0,17232.0,-16500.0
-25276.0,12220.0,-5256.0
7460.0,-16000.0,-12736.0
-14748.0,-17144.0,-2084.0
-12720.0,4388.0,-7328.0
-6460.0,11540.0,-5676.0
-3620.0,9648.0,-4936.0
-3924.0,3600.0,-2948.0
-5652.0,-1076.0,-2204.0
-6856.0,-2920.0,-1240.0
-6768.0,-2148.0,-568.0
-6748.0,-996.0,-1656.0
-7292.0,324.0,-2052.0
-8532.0,264.0,-2868.0
-9936.0,-456.0,-3268.0
-11672.0,-260.0,-3744.0
-12772.0,104.0,-2984.0
-14328.0,464.0,-3992.0
-18040.0,396.0,-3980.0
-22332.0,-872.0,-4200.0
-25788.0,-2020.0,-5560.0
-29048.0,-4328.0,-7092.0
-32492.0,-8432.0,-7768.0
-32768.0,-12868.0,-8052.0
-32768.0,-16484.0,-8540.0
-32764.0,-14596.0,-12724.0
-29256.0,-17580.0,-16076.0
-25632.0,-28512.0,-10496.0
-23572.0,-31916.0,-6548.0
-17740.0,-25804.0,-8428.0
-17892.0,-25520.0,-8944.0
-25820.0,-19356.0,-11912.0
-22608.0,15440.0,-5460.0
-32768.0,32767.0,-1168.0
