AcX	AcY	AcZ
-22316	836	-6708
-22868	60	-8324
-22316	836	-5256
-22868	60	-6708
-24768	-22572	-8324
-23096	-32768	-10516
-19308	-31360	-2440
-17432	-24992	2432
-15256	-27228	-760
-16612	-29032	-3880
-32768	15424	-1660
-17164	32767	-23940
-32768	31376	-8960
-32768	-3892	-19680
-5784	-9028	32767
-18152	-8608	2452
-14408	-560	-2092
-9636	408	1568
-13200	-7172	-7260
-10860	-19872	-11048
-21588	-10776	-16540
-12648	-11756	-7688
-17540	820	-9644
-14836	4736	-5840
-17064	6096	-3120
-16552	-256	-3488
-16476	-5576	-5908
-15608	-5812	-4256
-15160	-5356	-5824
-14456	-2772	-9208
-14636	-88	-9452
-14960	-704	-6540
-15560	-1788	-4468
-15488	-1628	-4860
-15828	-1652	-5908
-15116	-1044	-6644
-14496	-888	-6780
-15364	740	-6596
-14824	-284	-7804
-15188	-1284	-6492
-15908	-1348	-6540
-16676	-1672	-8008
-17128	868	-7408
-19492	2140	-7356
-17788	3192	-5804
-20184	3908	-6544
-21084	3416	-5056
-23464	1936	-3668
-24384	312	-4580
-23824	-160	-6440
-24500	244	-9216
-26268	1608	-9732
-29644	4148	-9132
-30368	2900	-9736
-31224	6624	-12016
-32768	4804	-11348
-32768	2944	-5860
-24872	544	-9996
-25308	3984	-15272
-24008	14200	-22700
-13296	6520	-14348
-22072	-22956	-1936
-9344	-5240	4920
-7488	6348	-3440
-5352	7380	-8752
-2572	7224	-5784
-3788	2940	-3632
-4232	-1688	-1480
-4520	-1932	-216
-5440	-972	56
-5484	-1308	-176
-6192	-1004	-888
-7824	-208	-1824
-10056	636	-2048
-11164	-864	-3148
-13728	-2908	-2880
-16500	-4600	-2956
-20188	-5012	-1640
-23032	-5100	-1448
-26356	-7848	-1108
-30544	-11228	-1784
-32768	-14608	-3312
-32768	-19972	-5060
-32768	-25548	-4576
-25600	-22500	-2996
-24396	-29132	-7636
-23872	-32768	-7140
-15536	-32768	-1192
-18980	-26264	-1284
-16540	-28764	-3956
-32296	23412	-1668
-32768	32767	-13916
-32768	-9568	-10580
-14748	-7144	23864
-12064	-8280	8424
-15952	-3584	-4876
-9796	-3248	-1716
-3148	-19456	-5880
-25724	-7648	-19420
-12000	-12452	-6660
-17776	-6656	-7060
-15392	-3764	-4756
-16708	3816	-4968
-15852	5864	-3848
-15884	2620	-5256
-14888	-3532	-7416
-15928	-6128	-5688
-15436	-5996	-5188
-15044	-2972	-7732
-15196	412	-7784
-15880	428	-5540
-15548	-2132	-3868
-16060	-3240	-3144
-15448	-2788	-4156
-15004	-2808	-5452
-15156	-2412	-6136
-14772	-2812	-6540
-15732	-2908	-6708
-14780	-2972	-6748
-15656	-4212	-7528
-16884	-4036	-6920
-17336	-1204	-6288
-16256	772	-4300
-17652	2516	-6884
-19060	3764	-6148
-19756	3376	-6572
-21868	1888	-6540
-23984	608	-5228
-23160	392	-4780
-22848	-108	-7216
-24692	-456	-8376
-25404	1840	-7680
-27644	4140	-7844
-29716	2288	-9328
-28248	7748	-10264
-32032	5600	-10632
-30968	1744	-5688
-26836	-2316	-8072
-25864	3876	-17244
-23272	13964	-22452
-19012	7800	-14764
-23256	-24180	-2384
-8728	-6096	3484
-8492	4904	-4672
-5416	6260	-9068
-2828	5556	-6452
-4024	592	-4320
-3808	-2828	-1956
-4420	-1632	-1248
-6016	-424	-2204
-6552	-1016	-1568
-7120	-1460	-1904
-9188	-1276	-1792
-10316	-1844	-3028
-11668	-2000	-2896
-13640	-2664	-3120
-15416	-2376	-2740
-18548	-1904	-2508
-23056	-3152	-2520
-26864	-4868	-2492
-30904	-8272	-3292
-32768	-14552	-4152
-32768	-21776	-4092
-32768	-27464	-3352
-28088	-23056	-1772
-23684	-21628	-6116
-23132	-32768	-9900
-19512	-32768	-3612
-16840	-27688	652
-15472	-29232	-804
-14308	-21328	-2168
-25724	32767	-5776
-29752	32767	-11196
-32768	2708	-11868
-14808	-5324	18500
-15876	-7092	11604
-13848	-2496	-5292
-9972	-2412	-2520
-12528	-9296	-7324
-11792	-22636	-10940
-22036	-11956	-17272
-14404	-9172	-3808
-15988	-1188	-8980
-15848	2144	-4084
-16632	6212	-3684
-15236	3440	-2484
-16300	-2360	-4000
-15620	-6568	-6096
-15508	-6468	-6184
-14508	-4680	-7160
-14240	-2912	-8256
-14768	276	-8152
-15560	-200	-5780
-16404	-1504	-4052
-16124	-2244	-3496
-15668	-3232	-4628
-15244	-2828	-5504
-15236	-2652	-6568
-15308	-2732	-6740
-15856	-2332	-6648
-16316	-3540	-8208
-20200	-2304	-7684
-16972	-328	-4056
-18040	2008	-4852
-18260	3504	-3996
-18388	3824	-5900
-20072	1656	-7676
-22420	-1544	-8148
-22916	-492	-5960
-22688	2012	-5868
-22744	1452	-7292
-25228	1780	-7604
-27692	3000	-7320
-30716	3700	-8164
-29900	7212	-11940
-32768	2408	-11384
-32768	4380	-5984
-26824	28	-10760
-26692	2240	-16388
-24760	14732	-23228
-15088	8380	-18016
-24120	-22204	-1752
-9620	-6540	4528
-7320	5076	-2072
-4800	6996	-8892
-1808	6980	-6884
-2984	2768	-4508
-3280	-2168	-2248
-3808	-3080	-1300
-5496	-2004	-816
-5732	-1336	-588
-6180	348	-516
-7996	940	-2080
-10552	396	-3132
-12652	-1600	-3472
-14476	-4068	-3352
-16736	-4868	-2980
-20076	-4784	-2568
-24052	-4976	-2084
-27792	-5404	-2212
-31980	-8016	-2900
-32768	-12820	-4636
-32768	-18452	-3856
-32768	-21480	-2072
-29172	-21192	-2968
-24380	-29828	-7452
-21916	-32768	-8012
-18508	-28692	-800
-16408	-27280	1160
-22096	-28636	-1140
-23948	-8180	-4596
-18928	32767	3056
-32768	26220	-11916
-32768	-1620	-13140
-10644	-5388	25472
-17012	-8512	5000
-14540	-512	-4244
-9684	248	-2436
-17304	-19392	-8108
-19332	-13808	-19000
-13016	-13352	-17300
-16608	-8540	-3700
-14772	-536	-9024
-16424	4736	-3880
-17376	5592	-4788
-16456	108	-3032
-15900	-5472	-6128
-15324	-7224	-6160
-15072	-4448	-8296
-15020	-572	-8340
-14896	352	-6780
-15148	-2064	-5352
-15444	-3924	-4052
-16220	-4288	-3568
-15972	-3824	-4180
-15740	-3036	-5252
-15204	-3080	-6540
-14600	-2332	-6148
-14684	-2744	-7596
-15332	-2556	-7252
-17152	-2712	-6420
-16904	-1100	-5224
-17072	692	-6396
-17280	2076	-4320
-19196	3120	-5496
-19632	2508	-7204
-20460	1656	-8568
-22548	1960	-6816
-23024	848	-6216
-22896	616	-7308
-24276	-208	-8296
-26268	2608	-6976
-29472	4264	-8016
-31576	3384	-8820
-30632	6560	-12032
-32768	2608	-11172
-28568	900	-7748
-26836	-896	-10828
-26796	7316	-19996
-23016	13252	-21272
-4048	-11692	-11368
-19364	-15328	1124
-8532	-276	5028
-7220	5936	-6060
-4144	7368	-8636
-3232	6052	-5384
-3872	1276	-3444
-4072	-1136	-1628
-5096	-864	-1488
-6512	-1492	-1420
-7300	-1732	-1924
-8356	-1884	-2960
-10476	-252	-4196
-13424	-648	-3312
-13856	-2904	-4200
-15200	-4240	-4268
-17652	-4496	-4488
-21608	-4168	-3228
-26136	-5332	-3124
-28956	-7340	-3268
-31780	-11344	-4524
-32768	-17892	-4768
-32768	-24876	-5108
-32032	-25340	-4536
-25648	-21924	-3492
-24144	-32768	-9608
-18900	-32768	-5920
-17752	-28256	352
-15156	-29280	-96
-13720	-29396	-2432
-31520	21924	-244
-32768	32767	-10632
-32768	-6320	-13460
-16148	-6892	23544
-12748	-9492	10256
-15500	-3320	-5632
-9424	-1804	-3080
-17024	-13404	-6912
-18412	-10092	-18236
-13716	-14336	-18172
-16960	-9404	-2320
-15448	-1208	-8860
-16332	4024	-4244
-16632	8700	-4424
-15456	2892	-2928
-15316	-3408	-6804
-16000	-6552	-5448
-14984	-6356	-5516
-14680	-4048	-9076
-15164	244	-8840
-15768	236	-5624
-16064	-1808	-3792
-15740	-3240	-3576
-16032	-3556	-3944
-15356	-3176	-4828
-15068	-2700	-6204
-14940	-2080	-6648
-15204	-2128	-6304
-14488	-2900	-6880
-16480	-3860	-8552
-17432	-2384	-5656
-16828	-396	-3404
-17756	652	-5480
-17968	1848	-4420
-18796	2776	-5932
-19200	3020	-7420
-21096	1840	-6104
-22592	604	-5540
-22472	-960	-6456
-22776	-644	-7648
-25040	764	-7800
-25992	2876	-7904
-30028	3500	-8584
-30412	3984	-10780
-31184	5112	-11324
-32768	3828	-9188
-29092	1960	-8048
-25484	-3344	-10772
-27400	4944	-19080
-21668	13096	-20644
-5712	-13176	-12344
-22656	-17532	1464
-8708	-1268	7968
-6940	5572	-5340
-4296	7016	-8760
-2764	5676	-5664
-3584	-276	-4168
-2960	-2848	-1432
-4600	-2492	-1004
-5732	-1604	-484
-5932	-1000	-1112
-6116	-724	-2408
-8068	-852	-3276
-10036	-1152	-2888
-12504	-2228	-3260
-13992	-3060	-4000
-15876	-2456	-3292
-20812	-3064	-2884
-24328	-5328	-2504
-27532	-7796	-2388
-30744	-9620	-3336
-32768	-13400	-4868
-32768	-19372	-5060
-32768	-24296	-5192
-29532	-20256	-4156
-24884	-28428	-10084
-22692	-32768	-7128
-17664	-30840	-584
-17056	-26620	-1904
-17796	-28236	-3084
-24712	1592	-3400
-21304	31732	-15264
-22452	20900	-8688
-32768	19728	-3680
-20296	-1604	6152
-14652	-11840	15688
-16284	-3652	-3256
-13044	496	-5368
-11820	-7184	-4880
-7800	-25188	-11012
-22708	-9804	-20960
-13748	-7976	-5892
-17416	-2644	-10384
-16128	1828	-3944
-16660	6656	-3360
-15672	6652	-2820
-15244	-148	-4532
-14380	-5120	-6188
-15168	-5344	-6124
-15064	-6048	-7568
-14616	-2652	-9000
-15644	-60	-7272
-15848	120	-4980
-15932	-2048	-3668
-15924	-2924	-3992
-15080	-2676	-4620
-14652	-3380	-5924
-15196	-3444	-6148
-15300	-2548	-6232
-14512	-2472	-6144
-16240	-3176	-8428
-18436	-1164	-6420
-16500	-928	-5564
-17820	196	-6008
-18768	1568	-4976
-19704	1732	-6256
-19620	2040	-7116
-20672	2068	-5820
-21868	1140	-6096
-22332	-676	-8464
-22604	-1584	-9776
-24116	-456	-9528
-25872	2032	-7788
-28544	3084	-7896
-29956	4464	-9584
-30340	5228	-9728
-32768	2140	-8080
-29872	3704	-6028
-27068	-1440	-12412
-27168	5908	-18368
-25180	14020	-21168
-6844	-9292	-9704
-19700	-17776	1484
-8628	-1056	6220
-6748	4328	-5952
-4104	5756	-8576
-2792	4436	-4960
-3340	-432	-3500
-3272	-2252	-1748
-5572	-1200	-1232
-6616	-580	-1172
-5784	196	-1528
-7020	-660	-1616
-8896	-760	-3000
-11524	-344	-2268
-12528	-1668	-3164
-14584	-3084	-3460
-17280	-3864	-3708
-20448	-3928	-2968
-25084	-4080	-2900
-29404	-7224	-3084
-32768	-12216	-3628
-32768	-16316	-3984
-32768	-22708	-4596
-32768	-26764	-4656
-25660	-21944	-5096
-23320	-31312	-10224
-22120	-32768	-4136
-16836	-32376	1496
-15432	-28216	-884
-16624	-30008	-3440
-23616	7916	-3668
-19360	32767	-15764
-32768	32388	-12240
-32768	6436	-16168
-7404	-12424	27148
-16996	-9880	5784
-14996	-944	-5128
-11676	-1228	-488
-9252	-18920	-4960
-23268	-9388	-21044
-10520	-13864	-15728
-17460	-7268	-7804
-15868	-944	-8216
-17188	4272	-5140
-16336	5860	-4532
-16368	5952	-1148
-15308	8	-2940
-16892	-7576	-4124
-15848	-7536	-4980
-15392	-5588	-5784
-15140	-3796	-6700
-15376	-956	-6640
-15936	-132	-4956
-16148	-2000	-3112
-15744	-3320	-3436
-15568	-3948	-4032
-15284	-3356	-5260
-15252	-2184	-6068
-15228	-2480	-6620
-14828	-3036	-6680
-16360	-3080	-8532
-19420	-1112	-7372
-17208	-488	-5292
-18248	2112	-5100
-19340	3984	-4012
-19876	3032	-5716
-20852	1508	-6536
-22740	1236	-5460
-23176	-644	-6196
-22696	-848	-8256
-24264	-328	-9076
-26344	1788	-8440
-28664	4040	-8068
-30412	4424	-8640
-28508	5672	-10712
-32768	1252	-7924
-32100	1820	-5592
-25320	360	-9968
-26204	4436	-17396
-25796	14504	-20736
-11764	1088	-13604
-22440	-21244	-1540
-8772	-5476	6356
-7564	4080	-6388
-5296	6528	-10740
-2884	6128	-6008
-4092	1308	-3336
-3380	-1384	-268
-4164	-108	-80
-7324	-468	-880
-7512	920	-344
-7040	-876	-1452
-9720	-1188	-1656
