AcX,AcY,AcZ
-29952,30928,-3868
-32768,32767,-4812
-32768,7648,14308
-16100,-7016,8592
-17480,-7492,-4244
-14092,-2852,-3140
-10516,-2724,-7168
-13044,-6176,-12776
-10164,-23992,-17820
-22284,-8916,-6904
-12744,-7188,-8188
-16748,-1744,-5084
-15576,2480,-3528
-16476,4828,-2260
-16240,4288,-4460
-15676,-3164,-8100
-15824,-6172,-6192
-14744,-5980,-7916
-14516,-5000,-9024
-15024,-1708,-6384
-15852,88,-3624
-15908,-568,-2940
-15812,-2048,-3872
-15196,-3532,-4872
-15624,-4212,-5844
-15340,-3000,-6808
-15112,-2812,-7060
-15256,-2964,-6428
-15388,-2376,-6344
-14804,-2936,-8516
-16116,-2340,-7344
-17688,-40,-5340
-16440,2108,-5048
-18808,4328,-6744
-20100,1956,-6480
-21636,1364,-5772
-23316,872,-5964
-24728,340,-6660
-24596,964,-7524
-25892,2200,-8116
-27272,2664,-7404
-30728,3760,-9412
-32668,6124,-11336
-32120,7700,-10068
-32768,4996,-7692
-31780,4568,-12252
-22732,-1392,-19184
-25988,4316,-22084
-22020,11464,-11560
-5468,-8016,1152
-16672,-16068,7052
-8572,-596,-6636
-6328,7572,-9824
-3564,8788,-6152
-3196,6884,-4000
-4240,460,-2280
-4824,-2432,-1868
-5060,-1400,-1668
-6568,204,-1268
-6880,-1216,-1380
-7752,-584,-2760
-9256,-404,-3524
-11084,-1436,-3900
-13892,-3796,-4320
-15228,-4212,-3384
-18048,-3976,-2316
-22852,-4868,-2284
-26092,-7264,-1136
-28892,-10488,-2240
-32116,-12920,-3652
-32768,-16552,-3980
-32768,-22532,-2096
-32768,-26192,-1476
-24744,-24252,-6012
-23476,-28472,-6268
-21080,-32768,-752
-18720,-32768,176
-21648,-27968,-5832
-20260,-22672,1240
-29728,29404,-7188
-28408,32767,-2164
-31500,4872,13920
-19876,-9192,16020
-14300,-10272,-368
-13448,-3448,-5728
-14324,-2328,-3772
-9572,-17832,-19440
-23080,-8036,-17992
-10092,-14724,-6276
-17892,-6720,-7568
-16392,-864,-4568
-17272,4272,-3552
-15984,7444,-2292
-15124,6212,-3824
-15488,-24,-6308
-15176,-7016,-6336
-15848,-7532,-6764
-15268,-6304,-7792
-15136,-2172,-6952
-15340,-232,-4612
-15940,-996,-3200
-16256,-2596,-2660
-16132,-3672,-3912
-15552,-3816,-4808
-15760,-2888,-5848
-15792,-2908,-6716
-15620,-1576,-7896
-14280,-1288,-9560
-15676,-1608,-7616
-17316,1268,-5884
-16580,3320,-6224
-20140,3552,-5652
-21712,1192,-4824
-23468,188,-4368
-24464,196,-5244
-24364,1496,-7504
-25100,1528,-9264
-25688,604,-8416
-29344,3464,-9704
-32052,5840,-13144
-31572,7036,-11756
-32768,4592,-7672
-32768,3752,-9772
-23792,2092,-15948
-26220,-224,-20228
-26068,10616,-17352
-24616,8944,-3992
-14708,-24532,2812
-11784,-2440,-3740
-7172,7416,-8292
-3312,9120,-6588
-2584,7660,-4664
-3228,1536,-2620
-4652,-2344,-1480
-5448,-1160,-1388
-6164,380,-680
-8192,28,-1616
-8240,-1320,-2004
-9856,-908,-2468
-10904,-1352,-2036
-13384,-1764,-2176
-15000,-2440,-2488
-16928,-1888,-2436
-20756,-2512,-2072
-23912,-4776,-1652
-27704,-7536,-2508
-31908,-9616,-4336
-32768,-12780,-5016
-32768,-18004,-9696
-32768,-28368,140
-26940,-22708,-6452
-23876,-24004,-9540
-22168,-31816,-2688
-18808,-31448,-1692
-16508,-26820,-2244
-23764,-25176,-9748
-22980,-28704,5780
-32768,32767,-9360
-32768,28672,2540
-32768,-9156,22252
-8160,-2404,-212
-15172,-7420,-3720
-13496,-4788,-864
-11216,-5292,-7728
-7628,-23384,-18512
-24112,-8108,-8976
-13756,-12144,-8424
-16624,-2024,-7268
-14180,812,-5672
-16648,4680,-2596
-15812,2344,-5716
-16020,-4032,-5584
-16396,-4940,-3328
-15804,-4816,-7984
-14808,-4208,-9048
-14732,-1300,-5740
-15488,-512,-4308
-15628,-2544,-4232
-16260,-4288,-3720
-16460,-4300,-5092
-15532,-3300,-6392
-15316,-1888,-7768
-13824,-660,-10360
-15392,-2284,-7788
-15524,-1172,-6648
-15644,-764,-5976
-16168,-948,-5516
-16684,88,-6472
-16744,1740,-6424
-17760,3132,-8092
-19024,3444,-7980
-20548,2444,-6228
-23848,1504,-5864
-24396,696,-6236
-24264,704,-7932
-25952,1028,-7624
-27116,2776,-7788
-31144,5396,-8640
-32768,7060,-11532
-32232,7744,-10296
-32768,3216,-7760
-29200,-688,-11800
-27332,2444,-22940
-26880,10572,-20096
-24536,10600,-9660
-4624,-28336,1500
-13464,-12548,80
-9964,3180,-9172
-7316,7100,-7660
-3432,7844,-4852
-3444,3900,-3172
-3764,-2632,-1948
-3536,-2792,-1920
-5128,-820,-1180
-6072,88,-1292
-6328,-960,-2616
-8308,-484,-3528
-9732,-908,-3500
-11784,-1380,-3692
-14284,-2960,-4024
-15804,-3768,-3668
-19324,-4804,-3000
-23376,-6300,-3240
-26212,-7824,-3140
-28312,-9164,-3932
-31552,-11976,-3944
-32768,-18564,-3164
-32768,-24316,-1232
-30528,-23564,-3580
-25536,-19496,-9772
-23776,-28600,-5740
-23036,-32768,828
-17560,-28204,-1872
-16624,-26068,-3896
-26848,-19400,-10708
-25896,-4700,100
-20888,32767,1408
-32768,28944,-7180
-32768,548,24800
-12620,-10772,6196
-14976,-9520,-5708
-15204,-5300,-4164
-13644,-9956,-10588
-12640,-16628,-24680
-13932,-14636,-3384
-17840,-9556,-11120
-15516,184,-5392
-16244,3016,-4528
-16336,8676,-2824
-16156,4520,-4568
-15592,-3712,-4200
-16768,-9300,-5596
-15520,-6000,-7664
-14636,-1848,-6444
-15368,-540,-4652
-16068,-1532,-3164
-15820,-3848,-2340
-15672,-3688,-3568
-15884,-2780,-4568
-15472,-2100,-6480
-14628,-1464,-7304
-13700,-2632,-9408
-15768,-4072,-7240
-17100,-1008,-6132
-15824,-572,-6536
-16692,520,-5132
-17852,2672,-5628
-18936,4164,-6532
-20252,3800,-6240
-22064,1648,-5400
-24536,1664,-5724
-24780,1440,-7056
-25064,336,-8660
-26300,968,-8784
-28348,3744,-9408
-31624,5084,-12044
-32768,3720,-12172
-31156,5144,-10776
-32768,4392,-9452
-29372,-1080,-10268
-26648,856,-18248
-28184,12356,-19756
-28404,11144,-8100
-2032,-28452,3280
-13832,-6820,-1700
-10756,7744,-9796
-6348,8616,-5736
-4748,7836,-3380
-5104,1124,-1692
-4452,-3768,-1536
-4292,-2896,-2032
-6668,-1568,-1988
-7240,-592,-2168
-7724,-952,-3396
-8672,-1488,-3464
-10072,-1220,-3472
-11756,-2392,-3196
-14036,-3764,-3472
-14936,-4288,-2900
-18448,-4196,-2840
-22024,-4424,-3204
-25396,-4624,-3168
-29344,-7800,-3984
-31348,-12656,-4188
-32768,-18500,-3580
-32768,-27784,-2012
-31392,-27304,-1620
-26296,-19400,-8200
-24144,-28348,-3796
-21524,-32768,1320
-17780,-31524,696
-16816,-30948,-1052
-17804,-20212,-11360
-28112,24816,-13676
-32768,32767,-20292
-32768,-7204,28052
-10232,-6764,9008
-16404,-9228,-2976
-15660,-1680,2180
-10564,-4,-4852
-14600,-4228,-7660
-8560,-26388,-19864
-22076,-11596,-10572
-12704,-9308,-11300
-15916,-264,-5740
-16240,4024,-4768
-16660,5148,-2868
-16148,3768,-3812
-16084,-2748,-5656
-15776,-3744,-5524
-14352,-4896,-7956
-14772,-4804,-8032
-15296,-1960,-5320
-15244,-836,-3592
-15872,-2216,-3348
-15924,-1880,-3868
-15332,-2632,-5092
-15464,-3200,-6220
-15312,-2572,-7276
-14668,-3124,-7584
-14240,-3108,-6644
-14780,-2820,-8148
-15684,-1624,-5332
-17032,1440,-6380
-18120,2360,-4696
-20672,2436,-7624
-22440,848,-6032
-23972,-212,-5324
-24072,1256,-5876
-24504,1940,-8044
-24404,1288,-9528
-25600,-56,-8704
-27660,1764,-8616
-29356,4692,-8988
-32768,8292,-10240
-32768,8160,-5624
-32768,3476,-5348
-27496,2048,-16296
-27124,3608,-24076
-26380,13144,-21184
-30448,10324,-3608
-11416,-32628,5776
-10976,-7320,-5000
-9760,5192,-11128
-5868,5868,-7468
-3284,6240,-4296
-3564,2416,-2032
-2960,-1476,-1576
-2956,-1424,-2364
-4644,-384,-2888
-5628,-280,-3784
-7932,-180,-4156
-8856,-340,-3968
-11472,-644,-3776
-12956,-2500,-4472
-14432,-3788,-4516
-16292,-4644,-3608
-21084,-5120,-3452
-24744,-6184,-3468
-26764,-6636,-3884
-28900,-8876,-4840
-32768,-14384,-4944
-32768,-22876,-4564
-32768,-27424,-2492
-26976,-22036,-6808
-24432,-25292,-7464
-24540,-32768,-1596
-19008,-31068,1044
-19000,-27268,-660
-18644,-29656,-2276
-26980,-9820,-10992
-30496,15332,-2812
-26844,32767,-2292
-32768,20344,4656
-30488,-10392,25088
-15492,-9060,-2128
-14260,-4796,-3448
-12932,-3524,-2796
-12988,-7148,-8588
-5744,-28280,-21388
-21800,-12688,-7432
-14776,-9092,-10804
-17228,-1516,-6160
-14636,4008,-3892
-17676,7508,-1444
-16056,3932,-4272
-16524,-3436,-6344
-15920,-6044,-5832
-14800,-6276,-8732
-14052,-2820,-8504
-14732,-1888,-7072
-15552,-28,-3616
-15788,-2164,-2540
-15884,-4480,-2320
-15884,-3076,-3944
-15348,-3832,-5972
-16124,-3236,-6508
-15380,-3104,-8096
-15332,-2252,-10680
-18916,-2704,-6692
-16564,-1988,-5588
-16848,888,-4912
-18316,1404,-4312
-18456,3224,-5828
-19552,4124,-7728
-21824,1632,-6568
-23720,1004,-5816
-23980,1312,-7484
-24676,1652,-8716
-25432,2192,-8048
-27384,3076,-7916
-29976,4892,-8480
-32384,5204,-10348
-32768,5500,-8884
-32768,3120,-9184
-29368,644,-13888
-27432,3080,-20636
-25960,13216,-21048
-29492,12616,-5164
-5500,-29092,7132
-9112,-15716,-1184
-8764,-92,-13084
-6260,4416,-9684
-3512,8224,-3984
-4528,5996,-684
-3816,-1688,152
-3320,-1620,-1560
-5240,-828,-380
-7228,-1328,-284
-7604,-1460,-1248
-8716,-824,-920
-10560,376,-1212
-11564,-84,-2032
-13572,-796,-1540
-16324,-2652,-1556
-19456,-4164,-1156
-22828,-5156,-1568
-25108,-6076,-1632
-28432,-9204,-2184
-31144,-13460,-3100
-32768,-18048,-3264
-32768,-22092,-6172
-32768,-29596,880
-25816,-25272,-7732
-21448,-27840,-9752
-21180,-31320,-1628
-20096,-32572,1216
-22060,-26360,-7976
-18756,-30292,3180
-32768,23968,-12764
-32768,32767,-3500
-32768,-12292,24632
-9528,-5228,4744
-12444,-7620,-2616
-17528,-6828,1844
-10988,-5116,-3812
-19432,-13832,-16720
-16664,-8740,-21276
-15668,-12660,-3968
-17012,-6740,-11332
-16040,-840,-4644
-16868,1056,-3476
-16884,4380,-2444
-16096,2308,-5720
-15724,-1164,-6388
-15264,-2620,-6164
-14828,-1684,-6996
-14112,-3588,-8772
-15096,-3092,-6360
-15416,-1220,-3768
-16028,-2036,-2700
-16248,-2364,-3024
-15644,-1832,-4324
-16056,-1632,-5684
-15772,-2480,-6976
-15420,-2916,-6672
-15212,-3808,-5532
-14760,-3224,-8140
-17072,-3304,-6272
-19012,-1584,-5072
-17208,292,-4340
-18544,3076,-5264
-20356,3572,-5848
-20924,2788,-5756
-23436,-120,-4700
-24216,-528,-6240
-23632,600,-8840
-24360,936,-8588
-27060,2376,-8320
-29672,4692,-8644
-32768,8780,-11532
-29848,9212,-8064
-32768,1344,-4040
-32768,464,-9260
-24884,-2592,-18676
-27636,10032,-23736
-21004,12404,-11592
-10412,-152,-1672
-17312,-19348,5972
-9064,-952,-9372
-8280,6100,-10636
-4120,8460,-5732
-3632,5632,-3176
-4060,-1932,-2024
-4632,-3464,-1628
-5288,-1076,200
-6400,-516,344
-7680,-716,-588
-8848,-420,-720
-10848,748,-1428
-13240,376,-1300
-14516,-868,-1072
